3 100 -5 5 17
 0.1 0.5 8.0 0.0998334166468282
 0.2 0.1 9.0 0.198669330795061
 0.3 0.7 10.0 0.29552020666134
 0.4 0.3 11.0 0.389418342308651
 0.5 0.2 2.0 0.479425538604203
 0.6 0.7 3.0 0.564642473395035
 0.7 0.1 4.0 0.644217687237691
 0.8 0.5 5.0 0.717356090899523
 0.9 0.6 6.0 0.783326909627483
 1 0.3 7.0 0.841470984807897
 1.1 0.5 8.0 0.891207360061435
 1.2 0.7 12.0 0.932039085967226
 1.3 0.6 13.0 0.963558185417193
 1.4 0.8 14.0 0.98544972998846
 1.5 2 15.0 0.997494986604054
 1.6 3 16.0 0.999573603041505
 1.7 1.2 17.0 0.991664810452469

 
